date_local,ride_id,ride_name,land,samples,open_samples,pct_open,avg_wait_open,median_wait_open,p90_wait_open,max_wait,first_open_local,last_open_local
2026-08-18,10461,Barnstormer,Kids' Rides,104,72,69.2,0.0,0.0,0.0,0,10:50,19:55
2026-08-18,17425,Barrels O’ Fun,Family Rides,104,60,57.7,21.2,30.0,35.0,35,10:50,19:55
2026-08-18,3233,BATMAN™ The Ride,Thrill Rides,104,72,69.2,21.7,20.0,45.0,45,10:50,19:55
2026-08-18,3270,Buccaneer,Family Rides,104,72,69.2,0.0,0.0,0.0,0,10:50,19:55
2026-08-18,3275,Bugaboo,Kids' Rides,104,72,69.2,0.0,0.0,0.0,0,10:50,19:55
2026-08-18,3277,Bugs Bunny Camp Carousel,Kids' Rides,104,72,69.2,0.0,0.0,0.0,0,10:50,19:55
2026-08-18,3279,Bugs Bunny Ranger Pilots,Kids' Rides,104,72,69.2,0.0,0.0,0.0,0,10:50,19:55
2026-08-18,3237,Carousel,Family Rides,104,72,69.2,0.0,0.0,0.0,0,10:50,19:55
2026-08-18,3240,Daffy Duck Hot Air Balloons,Kids' Rides,104,69,66.3,0.0,0.0,0.0,0,10:50,19:55
2026-08-18,3243,El Toro,Thrill Rides,104,67,64.4,25.4,25.0,60.0,60,10:50,19:55
2026-08-18,3244,Enchanted Teacups,Family Rides,104,72,69.2,0.0,0.0,0.0,0,10:50,19:55
2026-08-18,3245,Fender Benders,Family Rides,104,72,69.2,0.0,0.0,0.0,0,10:50,19:55
2026-08-18,17426,Flying Scooters,Family Rides,104,72,69.2,0.0,0.0,0.0,0,10:50,19:55
2026-08-18,15604,Giant Wheel,Family Rides,104,55,52.9,9.5,15.0,15.0,15,11:25,19:55
2026-08-18,3236,HARLEY QUINN™ Crazy Train,Family Rides,104,67,64.4,0.0,0.0,0.0,0,10:50,19:55
2026-08-18,3249,Houdini’s Great Escape,Family Rides,104,72,69.2,7.8,10.0,10.0,10,10:50,19:55
2026-08-18,17427,Hypno Twister,Family Rides,104,0,0.0,,,,,,
2026-08-18,8539,Jersey Devil Coaster,Thrill Rides,104,55,52.9,18.5,20.0,20.0,20,11:25,19:55
2026-08-18,3250,Jolly Roger,Family Rides,104,72,69.2,0.0,0.0,0.0,0,10:50,19:55
2026-08-18,3916,JUSTICE LEAGUE™: Battle for METROPOLIS,Thrill Rides,104,63,60.6,17.5,30.0,30.0,30,10:50,19:55
2026-08-18,10077,Lil' Devil Coaster,Kids' Rides,104,71,68.3,0.0,0.0,0.0,0,10:50,19:55
2026-08-18,10533,Medusa,Thrill Rides,104,72,69.2,12.7,0.0,60.0,60,10:50,19:55
2026-08-18,3253,Nitro,Thrill Rides,104,64,61.5,18.8,10.0,60.0,60,11:25,19:55
2026-08-18,15617,Porky Pig Camp Wagons,Kids' Rides,104,72,69.2,0.0,0.0,0.0,0,10:50,19:55
2026-08-18,3257,Raja’s Rickshaws,Kids' Rides,104,72,69.2,0.0,0.0,0.0,0,10:50,19:55
2026-08-18,15829,Roaring Rapids,Family Rides,104,64,61.5,12.3,5.0,30.0,30,11:55,19:55
2026-08-18,3261,Runaway Train,Thrill Rides,104,0,0.0,,,,,,
2026-08-18,3274,Safari Off-Road Adventure,Kids' Rides,104,36,34.6,19.6,20.0,40.0,40,11:25,15:55
2026-08-18,3283,Saw Mill Log Flume,Kids' Rides,104,67,64.4,11.9,15.0,15.0,15,11:40,19:55
2026-08-18,15727,Scrambler,Family Rides,104,72,69.2,0.0,0.0,0.0,0,10:50,19:55
2026-08-18,3262,Skull Mountain,Thrill Rides,104,72,69.2,0.0,0.0,0.0,0,10:50,19:55
2026-08-18,3281,Sky Zooma,Kids' Rides,104,72,69.2,0.0,0.0,0.0,0,10:50,19:55
2026-08-18,3263,SkyScreamer,Thrill Rides,104,70,67.3,4.7,0.0,10.0,10,10:50,19:55
2026-08-18,3282,Slingshot,Thrill Rides,104,64,61.5,0.0,0.0,0.0,0,11:55,19:55
2026-08-18,15789,Storm Chaser,Kids' Rides,104,69,66.3,0.0,0.0,0.0,0,10:50,19:55
2026-08-18,3267,Super Round Up,Kids' Rides,104,71,68.3,0.0,0.0,0.0,0,10:50,19:55
2026-08-18,3266,SUPERMAN™: Ultimate Flight,Thrill Rides,104,60,57.7,28.0,0.0,60.0,60,10:50,19:55
2026-08-18,3268,Tango,Family Rides,104,72,69.2,0.0,0.0,0.0,0,10:50,19:55
2026-08-18,3271,THE DARK KNIGHT™ Coaster,Thrill Rides,104,67,64.4,0.0,0.0,0.0,0,10:50,19:55
2026-08-18,14537,THE FLASH™: Vertical Velocity,Thrill Rides,104,70,67.3,53.0,45.0,90.0,120,11:25,19:55
2026-08-18,3288,THE JOKER™,Thrill Rides,104,66,63.5,37.0,40.0,60.0,60,11:45,19:55
2026-08-18,15594,Tree Top Hopper,Kids' Rides,104,72,69.2,0.0,0.0,0.0,0,10:50,19:55
2026-08-18,17428,Wave Swinger,Family Rides,104,72,69.2,0.0,0.0,0.0,0,10:50,19:55
2026-08-18,3273,Wile E. Coyote Canyon Blaster,Thrill Rides,104,63,60.6,0.0,0.0,0.0,0,10:50,19:55
